"id	arabic_letters_with_diacritics	",
1,ب
2,ت
3,ث
4,ج
5,ح
6,خ
7,د
8,ذ
9,ر
10,ز
11,س
12,ش
13,ص
14,ض
15,ط
16,ظ
17,ع
18,غ
19,ف
20,ق
21,ك
22,ل
23,م
24,ن
25,ه
26,و
27,ؤ
28,ي
29,ى
30,ة
31,ئ
32,ا
33,ء
34,أ
35,إ
36,آ
37,بَ
38,تَ
39,ثَ
40,جَ
41,حَ
42,خَ
43,دَ
44,ذَ
45,رَ
46,زَ
47,سَ
48,شَ
49,صَ
50,ضَ
51,طَ
52,ظَ
53,عَ
54,غَ
55,فَ
56,قَ
57,كَ
58,لَ
59,مَ
60,نَ
61,هَ
62,وَ
63,ؤَ
64,يَ
65,ىَ
66,ةَ
67,ئَ
68,ءَ
69,أَ
70,آَ
71,بُ
72,تُ
73,ثُ
74,جُ
75,حُ
76,خُ
77,دُ
78,ذُ
79,رُ
80,زُ
81,سُ
82,شُ
83,صُ
84,ضُ
85,طُ
86,ظُ
87,عُ
88,غُ
89,فُ
90,قُ
91,كُ
92,لُ
93,مُ
94,نُ
95,هُ
96,وُ
97,ؤُ
98,يُ
99,ىُ
100,ةُ
101,ئُ
102,اُ
103,ءُ
104,أُ
105,بِ
106,تِ
107,ثِ
108,جِ
109,حِ
110,خِ
111,دِ
112,ذِ
113,رِ
114,زِ
115,سِ
116,شِ
117,صِ
118,ضِ
119,طِ
120,ظِ
121,عِ
122,غِ
123,فِ
124,قِ
125,كِ
126,لِ
127,مِ
128,نِ
129,هِ
130,وِ
131,ؤِ
132,يِ
133,ىِ
134,ةِ
135,ئِ
136,اِ
137,ءِ
138,أِ
139,إِ
140,بً
141,تً
142,ثً
143,جً
144,حً
145,خً
146,دً
147,ذً
148,رً
149,زً
150,سً
151,شً
152,صً
153,ضً
154,طً
155,ظً
156,عً
157,غً
158,فً
159,قً
160,كً
161,لً
162,مً
163,نً
164,هً
165,وً
166,ؤً
167,يً
168,ىً
169,ةً
170,ئً
171,أً
172,بٌ
173,تٌ
174,ثٌ
175,جٌ
176,حٌ
177,خٌ
178,دٌ
179,ذٌ
180,رٌ
181,زٌ
182,سٌ
183,شٌ
184,صٌ
185,ضٌ
186,طٌ
187,ظٌ
188,عٌ
189,غٌ
190,فٌ
191,قٌ
192,كٌ
193,لٌ
194,مٌ
195,نٌ
196,هٌ
197,وٌ
198,ؤٌ
199,يٌ
200,ىٌ
201,ةٌ
202,ئٌ
203,اً
204,ءً
205,أٌ
206,بٍ
207,تٍ
208,ثٍ
209,جٍ
210,حٍ
211,خٍ
212,دٍ
213,ذٍ
214,رٍ
215,زٍ
216,سٍ
217,شٍ
218,صٍ
219,ضٍ
220,طٍ
221,ظٍ
222,عٍ
223,غٍ
224,فٍ
225,قٍ
226,كٍ
227,لٍ
228,مٍ
229,نٍ
230,هٍ
231,وٍ
232,يٍ
233,ىٍ
234,ةٍ
235,ئٍ
236,ءٌ
237,إٍ
238,بْ
239,تْ
240,ثْ
241,جْ
242,حْ
243,خْ
244,دْ
245,ذْ
246,رْ
247,زْ
248,سْ
249,شْ
250,صْ
251,ضْ
252,طْ
253,ظْ
254,عْ
255,غْ
256,فْ
257,قْ
258,كْ
259,لْ
260,مْ
261,نْ
262,هْ
263,وْ
264,ؤْ
265,يْ
266,ىْ
267,ئْ
268,ءٍ
269,أْ
270,بّ
271,تّ
272,ثّ
273,جّ
274,حّ
275,خّ
276,دّ
277,ذّ
278,رّ
279,زّ
280,سّ
281,شّ
282,صّ
283,ضّ
284,طّ
285,ظّ
286,عّ
287,غّ
288,فّ
289,قّ
290,كّ
291,لّ
292,مّ
293,نّ
294,هّ
295,وّ
296,ؤّ
297,يّ
298,ىّ
299,بَّ
300,تَّ
301,ثَّ
302,جَّ
303,حَّ
304,خَّ
305,دَّ
306,ذَّ
307,رَّ
308,زَّ
309,سَّ
310,شَّ
311,صَّ
312,ضَّ
313,طَّ
314,ظَّ
315,عَّ
316,غَّ
317,فَّ
318,قَّ
319,كَّ
320,لَّ
321,مَّ
322,نَّ
323,هَّ
324,وَّ
325,ؤَّ
326,يَّ
327,ىَّ
328,اّ
329,أَّ
330,بُّ
331,تُّ
332,ثُّ
333,جُّ
334,حُّ
335,خُّ
336,دُّ
337,ذُّ
338,رُّ
339,زُّ
340,سُّ
341,شُّ
342,صُّ
343,ضُّ
344,طُّ
345,ظُّ
346,عُّ
347,غُّ
348,فُّ
349,قُّ
350,كُّ
351,لُّ
352,مُّ
353,نُّ
354,هُّ
355,وُّ
356,ؤُّ
357,يُّ
358,ىُّ
359,بِّ
360,تِّ
361,ثِّ
362,جِّ
363,حِّ
364,خِّ
365,دِّ
366,ذِّ
367,رِّ
368,زِّ
369,سِّ
370,شِّ
371,صِّ
372,ضِّ
373,طِّ
374,ظِّ
375,عِّ
376,غِّ
377,فِّ
378,قِّ
379,كِّ
380,لِّ
381,مِّ
382,نِّ
383,هِّ
384,وِّ
385,يِّ
386,ىِّ
387,بٌّ
388,تٌّ
389,ثٌّ
390,جٌّ
391,حٌّ
392,خٌّ
393,دٌّ
394,ذٌّ
395,رٌّ
396,زٌّ
397,سٌّ
398,شٌّ
399,صٌّ
400,ضٌّ
401,طٌّ
402,ظٌّ
403,عٌّ
404,غٌّ
405,فٌّ
406,قٌّ
407,كٌّ
408,لٌّ
409,مٌّ
410,نٌّ
411,هٌّ
412,وٌّ
413,ؤٌّ
414,يٌّ
415,ىٌّ
416,بٍّ
417,تٍّ
418,ثٍّ
419,جٍّ
420,حٍّ
421,خٍّ
422,دٍّ
423,ذٍّ
424,رٍّ
425,زٍّ
426,سٍّ
427,شٍّ
428,صٍّ
429,ضٍّ
430,طٍّ
431,ظٍّ
432,عٍّ
433,غٍّ
434,فٍّ
435,قٍّ
436,كٍّ
437,لٍّ
438,مٍّ
439,نٍّ
440,هٍّ
441,وٍّ
442,ؤٍ
443,يٍّ
444,ىٍّ
445,بًّ
446,تًّ
447,ثًّ
448,جًّ
449,حًّ
450,خًّ
451,دًّ
452,ذًّ
453,رًّ
454,زًّ
455,سًّ
456,شًّ
457,صًّ
458,ضًّ
459,طًّ
460,ظًّ
461,عًّ
462,غًّ
463,فًّ
464,قًّ
465,كًّ
466,لًّ
467,مًّ
468,نًّ
469,هًّ
470,وًّ
471,ؤًّ
472,يًّ
473,ىًّ
474,اًّ
475,اَ
476,اَّ
477,آَّ
478,أٍ
